12	37	26	49	30	22	25	27	31	38	20	17	21	22	35	15	29	19	24	16	41	43	37	46	40	37	45	44	33	40
32	16	10	27	28	19	40	35	16	26	48	26	21	35	38	12	32	37	29	31	23	27	8	17	43	44	45	29	19	21
45	29	48	48	15	33	23	13	21	47	24	15	33	16	49	20	38	41	17	20	49	15	46	6	38	11	7	14	39	20
10	19	11	13	44	7	45	9	23	22	29	9	15	30	48	11	20	47	14	46	29	6	11	21	36	31	14	8	37	37
17	23	24	21	28	13	27	25	6	14	38	31	45	37	42	33	40	42	39	32	48	8	18	41	43	11	15	12	29	18
12	45	36	7	7	43	50	22	47	12	10	45	43	10	22	45	13	39	23	46	42	29	6	50	33	38	46	22	28	50
31	35	22	10	40	8	23	22	38	23	45	29	37	17	50	30	46	12	37	14	17	36	26	15	50	20	40	49	37	43
17	13	10	16	47	14	12	45	47	48	18	32	34	28	49	28	11	8	42	31	27	36	18	17	27	49	26	38	6	31
35	15	19	17	6	33	48	13	34	28	50	48	26	24	7	11	15	41	26	40	10	10	22	44	36	19	7	37	50	17
25	13	36	7	34	12	21	45	10	27	47	9	45	12	48	38	5	39	14	38	42	50	46	11	33	6	32	12	39	11
