10																												
30																											
155421	83569	16647	37769	74791	266952	288412	22279	158879	210791																		
2354	2409	2250	1397	2176	2162	1024	641	590	1049	2407	2492	1053	638	825	1006	536	1027	872	2291	2393	2134	1560	1513	993	1630	2462	2402	837	2351
8672	8966	7971	10552	6538	7421	8587	10055	9441	11788																	
35	21	19	14	6	33	34	21	42	20	34	50	8	33	39	30	50	50	24	43	27	20	49	25	49	13	5	17	5	48
20	10	27	29	50	5	28	32	35	10	5	41	26	6	14	10	40	42	8	9	27	7	36	43	9	10	14	16	11	35
8	6	25	14	7	45	45	25	41	22	5	50	17	7	30	40	22	43	27	41	23	42	10	34	30	25	44	43	32	40
39	25	27	23	12	43	24	47	50	36	38	34	45	47	43	40	20	24	44	8	34	12	31	9	12	6	31	22	27	43
26	28	25	28	32	15	48	31	50	15	25	50	38	5	41	9	41	36	12	10	16	32	22	10	19	47	28	22	32	17
18	6	26	46	29	13	7	32	24	31	40	39	49	19	42	25	39	44	39	22	15	9	47	17	22	13	47	11	23	28
41	46	16	8	32	11	27	8	33	22	10	8	41	10	22	8	43	13	43	46	18	25	36	27	25	7	42	24	23	22
5	28	15	7	13	41	5	48	20	47	38	37	48	39	36	44	6	24	16	36	46	37	21	39	32	29	11	26	20	17
42	31	21	18	35	38	46	49	44	23	10	33	26	22	45	47	20	33	29	21	47	12	46	17	19	12	34	10	50	48
34	8	41	28	21	10	22	25	47	44	18	43	15	22	44	34	41	41	31	43	5	28	49	46	42	19	25	22	29	28
